date,R_fighter,B_fighter,Winner,weight_class,gender,no_of_rounds,R_current_win_streak,B_current_win_streak,R_longest_win_streak,B_longest_win_streak,R_current_lose_streak,B_current_lose_streak,R_wins,B_wins,R_losses,B_losses,R_total_rounds_fought,B_total_rounds_fought,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_win_by_Submission,B_win_by_Submission,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_age,B_age,R_avg_SIG_STR_landed,B_avg_SIG_STR_landed,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_landed,B_avg_TD_landed,R_avg_TD_pct,B_avg_TD_pct,R_Stance,B_Stance,R_ufc_fights,B_ufc_fights
2026-03-07,Rob Font,Raul Rosas Jr.,Blue,Bantamweight,MALE,3,0,4,4,4,1,0,12,6,8,1,55,16,0,0,6,1,1,2,172.72,175.26,180.34,170.18,38,21,5.11,1.34,0.45,0.42,0.3,0.9,0.7,6.1,0.29,0.54,Orthodox,Switch,20,7
2026-03-07,Drew Dober,Michael Johnson,Red,Lightweight,MALE,3,1,3,3,4,0,0,15,16,11,15,54,79,0,1,11,6,1,0,172.72,177.8,177.8,185.42,37,39,4.48,4.27,0.41,0.39,0.1,0.0,0.61,0.57,0.16,0.38,Southpaw,Southpaw,26,31
2026-03-07,Gregory Rodrigues,Brunno Ferreira,Red,Middleweight,MALE,3,2,3,3,3,0,0,9,7,4,2,28,14,0,0,6,4,0,2,190.5,177.8,190.5,182.88,34,33,5.53,3.77,0.51,0.5,0.4,0.8,1.9,1.25,0.34,0.23,Orthodox,Orthodox,13,9
2026-03-07,Cody Garbrandt,Xiao Long,Red,Bantamweight,MALE,3,0,0,6,2,2,1,9,3,7,3,35,18,3,0,6,1,0,0,172.72,172.72,165.1,177.8,34,27,2.79,5.06,0.4,0.47,0.0,0.0,0.85,0.74,0.22,0.27,Orthodox,Orthodox,16,6
2026-03-07,Donte Johnson,Cody Brundage,Red,Middleweight,MALE,3,2,0,2,2,0,2,2,5,0,8,3,26,0,0,1,3,1,1,172.72,182.88,187.96,182.88,27,31,3.11,2.26,0.48,0.48,0.7,0.5,2.0,1.88,1.0,0.41,Southpaw,Orthodox,2,13
2026-02-28,Marlon Vera,David Martinez,Blue,Bantamweight,MALE,3,0,3,5,3,3,0,15,3,10,0,72,7,1,0,7,1,4,0,172.72,165.1,177.8,170.18,33,27,4.18,4.82,0.47,0.46,0.8,0.0,0.47,0.6,0.39,0.25,Switch,Orthodox,25,3
2026-02-28,Daniel Zellhuber,King Green,Blue,Lightweight,MALE,3,0,1,3,8,2,0,4,18,3,14,20,80,0,0,0,3,1,4,185.42,177.8,195.58,180.34,26,39,5.45,6.38,0.38,0.53,0.3,0.3,0.14,1.31,0.25,0.42,Switch,Orthodox,7,32
2026-02-28,Cristian Quinonez,Kris Moutinho,Red,Bantamweight,MALE,3,0,0,2,0,2,3,2,0,2,3,8,5,0,0,1,0,0,0,172.72,170.18,177.8,172.72,29,33,3.67,3.35,0.43,0.33,0.6,0.0,3.14,0.0,0.55,0.0,Orthodox,Southpaw,4,3
2026-02-28,Erik Silva,Francis Marshall,Blue,Featherweight,MALE,3,0,0,1,2,2,1,1,3,2,3,5,15,0,0,1,1,0,0,175.26,175.26,180.34,182.88,38,26,2.06,3.39,0.67,0.33,0.0,0.6,3.26,2.86,0.8,0.45,Orthodox,Orthodox,3,6
2026-02-21,Sean Strickland,Anthony Hernandez,Red,Middleweight,MALE,5,0,8,6,8,1,0,16,9,7,2,76,31,3,0,4,2,1,5,185.42,182.88,193.04,190.5,34,32,6.04,4.57,0.42,0.6,0.2,1.6,0.71,5.88,0.64,0.48,Orthodox,Orthodox,23,11
2026-02-21,Geoff Neal,Uros Medic,Blue,Welterweight,MALE,3,0,2,6,2,1,0,9,7,5,3,32,14,0,0,6,7,1,0,180.34,185.42,190.5,180.34,35,32,5.02,5.59,0.5,0.6,0.1,0.0,0.54,0.34,0.45,0.5,Southpaw,Southpaw,14,10
